Entry,Ligand_SMILES,Substrate_SMILES,Yield,tokenized_ligand,tokenized_substrate
62,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,6.0,C 1 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 1 C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) = C C = C 2,O = C ( C 1 = C C = C ( C ) C = C 1 ) C 2 = C C = C ( C ) C = C 2
63,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,4.0,C 1 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 1 C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) = C C = C 2,O = C ( C 1 = C C = C ( C = C 1 ) O C ) C 2 = C C = C ( C = C 2 ) O C
64,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,17.0,C 1 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 1 C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) = C C = C 2,O = C ( C 1 = C C = C ( F ) C = C 1 ) C 2 = C C = C ( F ) C = C 2
65,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,CC(C1=CC=CC=C1)=O,14.0,C 1 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 1 C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) = C C = C 2,C C ( C 1 = C C = C C = C 1 ) = O
66,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,O=C(C1=CC=CC=C1)C(F)(F)F,73.0,C 1 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 1 C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) = C C = C 2,O = C ( C 1 = C C = C C = C 1 ) C ( F ) ( F ) F
67,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,O=C(C1CCCCC1)C2=CC=CC=C2,5.0,C 1 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 1 C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) = C C = C 2,O = C ( C 1 C C C C C 1 ) C 2 = C C = C C = C 2
68,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,O=C1CCCC2=CC=CC=C21,7.0,C 1 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 1 C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) = C C = C 2,O = C 1 C C C C 2 = C C = C C = C 2 1
69,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,O=C1CCC2=CC=CC=C2C1,36.0,C 1 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 1 C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) = C C = C 2,O = C 1 C C C 2 = C C = C C = C 2 C 1
70,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,O=C(C1CCCCC1)C2CCCCC2,0.0,C 1 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 1 C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) = C C = C 2,O = C ( C 1 C C C C C 1 ) C 2 C C C C C 2
71,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1=CC=CC=C1)C2=CC=CC=C2,99.0,C 1 ( O C 2 = C C = C C = C 2 P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 = C C = C C = C 1 ) C 2 = C C = C C = C 2
72,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,99.0,C 1 ( O C 2 = C C = C C = C 2 P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 = C C = C ( C ) C = C 1 ) C 2 = C C = C ( C ) C = C 2
73,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,85.0,C 1 ( O C 2 = C C = C C = C 2 P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 = C C = C ( C = C 1 ) O C ) C 2 = C C = C ( C = C 2 ) O C
74,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,99.0,C 1 ( O C 2 = C C = C C = C 2 P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 = C C = C ( F ) C = C 1 ) C 2 = C C = C ( F ) C = C 2
75,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,CC(C1=CC=CC=C1)=O,86.0,C 1 ( O C 2 = C C = C C = C 2 P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,C C ( C 1 = C C = C C = C 1 ) = O
76,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1=CC=CC=C1)C(F)(F)F,91.0,C 1 ( O C 2 = C C = C C = C 2 P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 = C C = C C = C 1 ) C ( F ) ( F ) F
77,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1CCCCC1)C2=CC=CC=C2,98.0,C 1 ( O C 2 = C C = C C = C 2 P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 C C C C C 1 ) C 2 = C C = C C = C 2
78,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C1CCCC2=CC=CC=C21,39.0,C 1 ( O C 2 = C C = C C = C 2 P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C 1 C C C C 2 = C C = C C = C 2 1
79,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C1CCC2=CC=CC=C2C1,94.0,C 1 ( O C 2 = C C = C C = C 2 P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C 1 C C C 2 = C C = C C = C 2 C 1
80,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,O=C(C1CCCCC1)C2CCCCC2,18.0,C 1 ( O C 2 = C C = C C = C 2 P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C ( P ( C 5 = C C = C C = C 5 ) C 6 = C C = C C = C 6 ) C = C C = C 1,O = C ( C 1 C C C C C 1 ) C 2 C C C C C 2
81,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,O=C(C1=CC=CC=C1)C2=CC=CC=C2,96.0,C C 1 ( C ) C 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 2 O C 5 = C 1 C = C C = C 5 P ( C 6 = C C = C C = C 6 ) C 7 = C C = C C = C 7,O = C ( C 1 = C C = C C = C 1 ) C 2 = C C = C C = C 2
82,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,99.0,C C 1 ( C ) C 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 2 O C 5 = C 1 C = C C = C 5 P ( C 6 = C C = C C = C 6 ) C 7 = C C = C C = C 7,O = C ( C 1 = C C = C ( C ) C = C 1 ) C 2 = C C = C ( C ) C = C 2
83,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,88.0,C C 1 ( C ) C 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 2 O C 5 = C 1 C = C C = C 5 P ( C 6 = C C = C C = C 6 ) C 7 = C C = C C = C 7,O = C ( C 1 = C C = C ( C = C 1 ) O C ) C 2 = C C = C ( C = C 2 ) O C
84,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,99.0,C C 1 ( C ) C 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 2 O C 5 = C 1 C = C C = C 5 P ( C 6 = C C = C C = C 6 ) C 7 = C C = C C = C 7,O = C ( C 1 = C C = C ( F ) C = C 1 ) C 2 = C C = C ( F ) C = C 2
85,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,CC(C1=CC=CC=C1)=O,70.0,C C 1 ( C ) C 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 2 O C 5 = C 1 C = C C = C 5 P ( C 6 = C C = C C = C 6 ) C 7 = C C = C C = C 7,C C ( C 1 = C C = C C = C 1 ) = O
86,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,O=C(C1=CC=CC=C1)C(F)(F)F,90.0,C C 1 ( C ) C 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 2 O C 5 = C 1 C = C C = C 5 P ( C 6 = C C = C C = C 6 ) C 7 = C C = C C = C 7,O = C ( C 1 = C C = C C = C 1 ) C ( F ) ( F ) F
87,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,O=C(C1CCCCC1)C2=CC=CC=C2,96.0,C C 1 ( C ) C 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 2 O C 5 = C 1 C = C C = C 5 P ( C 6 = C C = C C = C 6 ) C 7 = C C = C C = C 7,O = C ( C 1 C C C C C 1 ) C 2 = C C = C C = C 2
88,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,O=C1CCCC2=CC=CC=C21,19.0,C C 1 ( C ) C 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 2 O C 5 = C 1 C = C C = C 5 P ( C 6 = C C = C C = C 6 ) C 7 = C C = C C = C 7,O = C 1 C C C C 2 = C C = C C = C 2 1
89,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,O=C1CCC2=CC=CC=C2C1,96.0,C C 1 ( C ) C 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 2 O C 5 = C 1 C = C C = C 5 P ( C 6 = C C = C C = C 6 ) C 7 = C C = C C = C 7,O = C 1 C C C 2 = C C = C C = C 2 C 1
90,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,O=C(C1CCCCC1)C2CCCCC2,27.0,C C 1 ( C ) C 2 = C C = C C ( P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4 ) = C 2 O C 5 = C 1 C = C C = C 5 P ( C 6 = C C = C C = C 6 ) C 7 = C C = C C = C 7,O = C ( C 1 C C C C C 1 ) C 2 C C C C C 2
91,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,O=C(C1=CC=CC=C1)C2=CC=CC=C2,3.0,C C ( P ( C ( C ) ( C ) C ) O C 1 = C C = C C ( O P ( C ( C ) ( C ) C ) C ( C ) ( C ) C ) = C 1 ) ( C ) C,O = C ( C 1 = C C = C C = C 1 ) C 2 = C C = C C = C 2
92,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,2.0,C C ( P ( C ( C ) ( C ) C ) O C 1 = C C = C C ( O P ( C ( C ) ( C ) C ) C ( C ) ( C ) C ) = C 1 ) ( C ) C,O = C ( C 1 = C C = C ( C ) C = C 1 ) C 2 = C C = C ( C ) C = C 2
93,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,1.0,C C ( P ( C ( C ) ( C ) C ) O C 1 = C C = C C ( O P ( C ( C ) ( C ) C ) C ( C ) ( C ) C ) = C 1 ) ( C ) C,O = C ( C 1 = C C = C ( C = C 1 ) O C ) C 2 = C C = C ( C = C 2 ) O C
94,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,3.0,C C ( P ( C ( C ) ( C ) C ) O C 1 = C C = C C ( O P ( C ( C ) ( C ) C ) C ( C ) ( C ) C ) = C 1 ) ( C ) C,O = C ( C 1 = C C = C ( F ) C = C 1 ) C 2 = C C = C ( F ) C = C 2
95,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,CC(C1=CC=CC=C1)=O,4.0,C C ( P ( C ( C ) ( C ) C ) O C 1 = C C = C C ( O P ( C ( C ) ( C ) C ) C ( C ) ( C ) C ) = C 1 ) ( C ) C,C C ( C 1 = C C = C C = C 1 ) = O
96,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,O=C(C1=CC=CC=C1)C(F)(F)F,76.0,C C ( P ( C ( C ) ( C ) C ) O C 1 = C C = C C ( O P ( C ( C ) ( C ) C ) C ( C ) ( C ) C ) = C 1 ) ( C ) C,O = C ( C 1 = C C = C C = C 1 ) C ( F ) ( F ) F
97,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,O=C(C1CCCCC1)C2=CC=CC=C2,2.0,C C ( P ( C ( C ) ( C ) C ) O C 1 = C C = C C ( O P ( C ( C ) ( C ) C ) C ( C ) ( C ) C ) = C 1 ) ( C ) C,O = C ( C 1 C C C C C 1 ) C 2 = C C = C C = C 2
98,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,O=C1CCCC2=CC=CC=C21,1.0,C C ( P ( C ( C ) ( C ) C ) O C 1 = C C = C C ( O P ( C ( C ) ( C ) C ) C ( C ) ( C ) C ) = C 1 ) ( C ) C,O = C 1 C C C C 2 = C C = C C = C 2 1
99,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,O=C1CCC2=CC=CC=C2C1,0.0,C C ( P ( C ( C ) ( C ) C ) O C 1 = C C = C C ( O P ( C ( C ) ( C ) C ) C ( C ) ( C ) C ) = C 1 ) ( C ) C,O = C 1 C C C 2 = C C = C C = C 2 C 1
100,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,O=C(C1CCCCC1)C2CCCCC2,0.0,C C ( P ( C ( C ) ( C ) C ) O C 1 = C C = C C ( O P ( C ( C ) ( C ) C ) C ( C ) ( C ) C ) = C 1 ) ( C ) C,O = C ( C 1 C C C C C 1 ) C 2 C C C C C 2
101,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],O=C(C1=CC=CC=C1)C2=CC=CC=C2,93.0,C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . [Fe+2],O = C ( C 1 = C C = C C = C 1 ) C 2 = C C = C C = C 2
102,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,95.0,C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . [Fe+2],O = C ( C 1 = C C = C ( C ) C = C 1 ) C 2 = C C = C ( C ) C = C 2
103,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,91.0,C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . [Fe+2],O = C ( C 1 = C C = C ( C = C 1 ) O C ) C 2 = C C = C ( C = C 2 ) O C
104,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,88.0,C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . [Fe+2],O = C ( C 1 = C C = C ( F ) C = C 1 ) C 2 = C C = C ( F ) C = C 2
105,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],CC(C1=CC=CC=C1)=O,80.0,C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . [Fe+2],C C ( C 1 = C C = C C = C 1 ) = O
106,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],O=C(C1=CC=CC=C1)C(F)(F)F,86.0,C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . [Fe+2],O = C ( C 1 = C C = C C = C 1 ) C ( F ) ( F ) F
107,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],O=C(C1CCCCC1)C2=CC=CC=C2,93.0,C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . [Fe+2],O = C ( C 1 C C C C C 1 ) C 2 = C C = C C = C 2
108,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],O=C1CCCC2=CC=CC=C21,15.0,C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . [Fe+2],O = C 1 C C C C 2 = C C = C C = C 2 1
109,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],O=C1CCC2=CC=CC=C2C1,95.0,C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . [Fe+2],O = C 1 C C C 2 = C C = C C = C 2 C 1
110,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],O=C(C1CCCCC1)C2CCCCC2,18.0,C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . C 1 = C C = C ( C = C 1 ) P ( [C-] 2 C = C C = C 2 ) C 3 = C C = C C = C 3 . [Fe+2],O = C ( C 1 C C C C C 1 ) C 2 C C C C C 2
111,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1=CC=CC=C1)C2=CC=CC=C2,85.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3,O = C ( C 1 = C C = C C = C 1 ) C 2 = C C = C C = C 2
112,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,57.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3,O = C ( C 1 = C C = C ( C ) C = C 1 ) C 2 = C C = C ( C ) C = C 2
113,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,31.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3,O = C ( C 1 = C C = C ( C = C 1 ) O C ) C 2 = C C = C ( C = C 2 ) O C
114,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,96.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3,O = C ( C 1 = C C = C ( F ) C = C 1 ) C 2 = C C = C ( F ) C = C 2
115,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(C1=CC=CC=C1)=O,46.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3,C C ( C 1 = C C = C C = C 1 ) = O
116,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1=CC=CC=C1)C(F)(F)F,88.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3,O = C ( C 1 = C C = C C = C 1 ) C ( F ) ( F ) F
117,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1CCCCC1)C2=CC=CC=C2,58.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3,O = C ( C 1 C C C C C 1 ) C 2 = C C = C C = C 2
118,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C1CCCC2=CC=CC=C21,26.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3,O = C 1 C C C C 2 = C C = C C = C 2 1
119,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C1CCC2=CC=CC=C2C1,93.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3,O = C 1 C C C 2 = C C = C C = C 2 C 1
120,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,O=C(C1CCCCC1)C2CCCCC2,4.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C 3 = C C = C C = C 3,O = C ( C 1 C C C C C 1 ) C 2 C C C C C 2
