smiles
Cc1ccc(C(=O)OCCCC(C)NCC(O)c2ccc(O)c(O)c2)cc1.O=P(O)(O)O
C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC1CCCCC1
COc1ccc(/C=C2\CN(P(=O)(O)O)C/C(=C\c3ccc(OC)c(OC)c3)C2=O)cc1OC
CCCCCCCCCCC/C=C\CCCOC[C@H](O)COP(=O)([O-])OCC[N+](C)(C)C
C[P+](C)(C)CCCCCCCCCCN1C(=O)c2ccccc2C1=O
CSC(Cl)=C(NC(C)=O)[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Cl-]
CCCCCCCC(=O)OCCCCCCC[C@H](COP(=O)(O)OC)NC(C)=O
CCCCCCCC/C=C\CCCCCCCC(=O)NCCC(=S)P(=O)(O)O
CCCCCCCCc1ccc2c(c1)CC[C@@H]([C@@](C)(N)COP(=O)(O)O)C2
CC1COP(=O)(Cc2ccc(NC(=O)[C@H]3Cc4cc5c(cc4C(=O)[C@H](C)S3)OCO5)cc2)OC1
Cc1ccc(CCCC(=O)c2ccc(COC[C@@](C)(N)COP(=O)(O)O)c(F)c2)cc1
CCOP(=O)(Cc1ccc(NC(=O)[C@H]2Cc3ccc(Cl)cc3C(=O)CS2)cc1)OCC
CCCCOP(=O)(CCCSc1nc2ccc(OCC)cc2s1)OCCCC
CCCCCCCCCCCCCCCCCC1OCC(OP(=O)([O-])OCC[N+](C)(C)C)O1
CCCCCCCCCCCCCCCCOC[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)OC
CCCCCCCCc1ccc(CC[C@@H](N)COP(O)(O)=S)cc1.O=C(O)C(F)(F)F
CCOC(=O)[C@H](C)N[P@](=O)(COC)Oc1c(C(C)C)cccc1[C@H](C)C1CC1
CC(=O)NC(=O)CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1
O=C(N[C@@H](COP(=O)(O)O)Cc1cccc(F)c1F)c1ccc2ccccc2c1
COc1ccc([C@@H]2[C@@H](CCP(=O)(O)c3ccccc3)C(=O)N2c2ccccc2)cc1
CCCCCCCCCCCCCCCCCC(=O)O[C@H](C)COP(=O)(O)OC[C@H](N)C(=O)O
O=P(c1ccccc1)(c1ccccc1)C(c1ccccc1)c1cccnc1
O=C(O)[C@@H]1C[C@H](Cc2ccccc2)CN1C(=O)CP(=O)(O)CCCCc1ccccc1
C=P(O)(O)OCC(N)(CO)CCc1ccc(-c2ccc(SCc3ccccc3)cc2)cc1Cl
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CCCC(=O)N(C)O
O=C(O)[C@@H]1C[C@@H](C2CCCCC2)CN1C(=O)CP(=O)(O)CCCCc1ccccc1
CCCCCCCCCCCCCC/C=C\OC[C@@H](O)COP(=O)(O)OCCN
CC(C)c1nc(C(C)(C)C)cc(-c2ccc(F)cc2)c1CCP(=O)(O)C[C@H](O)CC(=O)O
CCCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C1CC1
C[C@H](NP(=O)(Oc1cccc2ccccc12)O[C@@H]1CC[C@H](O)[C@H]1CO)C(=O)OCC(C)(C)C
CCCCCCCOc1ccccc1CCC(=O)OC[C@@H](O)COP(=O)(O)OC[C@H](N)C(=O)O
C[N+](C)(C)CCOP(=O)(O)OCCCCCCCCCCCCCCCCCl.[Cl-]
NC(CO)(CCc1ccc(-c2ccc(Oc3ccccc3)cc2)cc1)COP(=O)(O)O
NC(CO)(CCc1ccc(Oc2ccc(Cc3ccc(Cl)cc3)cc2)cc1)COP(=O)(O)O
CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CC
CCOP(=O)(OCC)[C@@H]1[C@H](c2ccc(OC)cc2)[C@@H](C(=O)c2ccccc2OC)ON1C
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([S-])OCC[N+](C)(C)C)OC
CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](F)COP(=O)(O)OC[C@H](N)C(=O)O
CCCCCCCCCCCC(=O)OCC(COP(=S)([S-])OCC[N+](C)(C)C)OC
CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)(O)OCCO)CC(C)C
CCOP(=O)(Cc1ccc(NC(=O)[C@@H]2Cc3cc4c(cc3C(=O)[C@@H](C)S2)OCO4)cc1)OCC
CCCCCCCCCCCCCCCP(=O)([O-])O[C@@H](CC(=O)O)C[N+](C)(C)C
