Entry,Ligand_SMILES,Substrate_SMILES,Yield
31,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 16 22 16 20 18 16 21 22 16 16 22 16 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,93.0
32,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 16 18 16 22 16 20 18 16 21 22 16 16 22 16 17 16 18 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,90.0
33,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 16 22 16 20 18 19 16 18 16 21 22 16 16 22 16 17 16 22 16 21 18 19 16 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,95.0
34,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 27 18 16 22 16 20 18 16 21 22 16 16 22 16 17 27 18 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,94.0
35,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 16 16 17 16 20 22 16 16 22 16 16 22 16 20 18 22 19 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,80.0
36,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 16 22 16 20 18 16 17 27 18 17 27 18 27 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,86.0
37,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 16 16 16 16 16 20 18 16 21 22 16 16 22 16 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,98.0
38,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 20 16 16 16 16 21 22 16 16 22 16 16 22 16 21 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.0
39,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 20 16 16 16 21 22 16 16 22 16 16 22 16 21 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,84.0
40,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 16 16 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 16 16 16 16 16 20 18 16 21 16 16 16 16 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17.0
41,12 16 20 17 45 17 16 21 22 16 16 22 16 16 22 16 21 18 16 26 22 16 16 22 16 16 22 16 26 18 22 16 16 22 16 16 22 16 20 45 17 16 32 22 16 16 22 16 16 22 16 32 18 16 43 22 16 16 22 16 16 22 16 43 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 16 22 16 20 18 16 21 22 16 16 22 16 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.0
42,12 16 20 17 45 17 16 21 22 16 16 22 16 16 22 16 21 18 16 26 22 16 16 22 16 16 22 16 26 18 22 16 16 22 16 16 22 16 20 45 17 16 32 22 16 16 22 16 16 22 16 32 18 16 43 22 16 16 22 16 16 22 16 43 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 16 18 16 22 16 20 18 16 21 22 16 16 22 16 17 16 18 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.0
43,12 16 20 17 45 17 16 21 22 16 16 22 16 16 22 16 21 18 16 26 22 16 16 22 16 16 22 16 26 18 22 16 16 22 16 16 22 16 20 45 17 16 32 22 16 16 22 16 16 22 16 32 18 16 43 22 16 16 22 16 16 22 16 43 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 16 22 16 20 18 19 16 18 16 21 22 16 16 22 16 17 16 22 16 21 18 19 16 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7.0
44,12 16 20 17 45 17 16 21 22 16 16 22 16 16 22 16 21 18 16 26 22 16 16 22 16 16 22 16 26 18 22 16 16 22 16 16 22 16 20 45 17 16 32 22 16 16 22 16 16 22 16 32 18 16 43 22 16 16 22 16 16 22 16 43 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 27 18 16 22 16 20 18 16 21 22 16 16 22 16 17 27 18 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6.0
45,12 16 20 17 45 17 16 21 22 16 16 22 16 16 22 16 21 18 16 26 22 16 16 22 16 16 22 16 26 18 22 16 16 22 16 16 22 16 20 45 17 16 32 22 16 16 22 16 16 22 16 32 18 16 43 22 16 16 22 16 16 22 16 43 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 16 16 17 16 20 22 16 16 22 16 16 22 16 20 18 22 19 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.0
46,12 16 20 17 45 17 16 21 22 16 16 22 16 16 22 16 21 18 16 26 22 16 16 22 16 16 22 16 26 18 22 16 16 22 16 16 22 16 20 45 17 16 32 22 16 16 22 16 16 22 16 32 18 16 43 22 16 16 22 16 16 22 16 43 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 16 22 16 20 18 16 17 27 18 17 27 18 27 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,36.0
47,12 16 20 17 45 17 16 21 22 16 16 22 16 16 22 16 21 18 16 26 22 16 16 22 16 16 22 16 26 18 22 16 16 22 16 16 22 16 20 45 17 16 32 22 16 16 22 16 16 22 16 32 18 16 43 22 16 16 22 16 16 22 16 43 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 16 16 16 16 16 20 18 16 21 22 16 16 22 16 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.0
48,12 16 20 17 45 17 16 21 22 16 16 22 16 16 22 16 21 18 16 26 22 16 16 22 16 16 22 16 26 18 22 16 16 22 16 16 22 16 20 45 17 16 32 22 16 16 22 16 16 22 16 32 18 16 43 22 16 16 22 16 16 22 16 43 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 20 16 16 16 16 21 22 16 16 22 16 16 22 16 21 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.0
49,12 16 20 17 45 17 16 21 22 16 16 22 16 16 22 16 21 18 16 26 22 16 16 22 16 16 22 16 26 18 22 16 16 22 16 16 22 16 20 45 17 16 32 22 16 16 22 16 16 22 16 32 18 16 43 22 16 16 22 16 16 22 16 43 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 20 16 16 16 21 22 16 16 22 16 16 22 16 21 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12.0
50,12 16 20 17 45 17 16 21 22 16 16 22 16 16 22 16 21 18 16 26 22 16 16 22 16 16 22 16 26 18 22 16 16 22 16 16 22 16 20 45 17 16 32 22 16 16 22 16 16 22 16 32 18 16 43 22 16 16 22 16 16 22 16 43 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 16 16 16 16 16 20 18 16 21 16 16 16 16 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.0
51,12 16 20 17 16 21 22 16 17 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 18 16 22 16 16 22 16 21 18 22 16 17 45 17 16 43 22 16 16 22 16 16 22 16 43 18 16 58 22 16 16 22 16 16 22 16 58 18 16 22 16 16 22 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 16 22 16 20 18 16 21 22 16 16 22 16 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,25.0
52,12 16 20 17 16 21 22 16 17 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 18 16 22 16 16 22 16 21 18 22 16 17 45 17 16 43 22 16 16 22 16 16 22 16 43 18 16 58 22 16 16 22 16 16 22 16 58 18 16 22 16 16 22 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 16 18 16 22 16 20 18 16 21 22 16 16 22 16 17 16 18 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13.0
53,12 16 20 17 16 21 22 16 17 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 18 16 22 16 16 22 16 21 18 22 16 17 45 17 16 43 22 16 16 22 16 16 22 16 43 18 16 58 22 16 16 22 16 16 22 16 58 18 16 22 16 16 22 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 16 22 16 20 18 19 16 18 16 21 22 16 16 22 16 17 16 22 16 21 18 19 16 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10.0
54,12 16 20 17 16 21 22 16 17 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 18 16 22 16 16 22 16 21 18 22 16 17 45 17 16 43 22 16 16 22 16 16 22 16 43 18 16 58 22 16 16 22 16 16 22 16 58 18 16 22 16 16 22 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 27 18 16 22 16 20 18 16 21 22 16 16 22 16 17 27 18 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,51.0
55,12 16 20 17 16 21 22 16 17 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 18 16 22 16 16 22 16 21 18 22 16 17 45 17 16 43 22 16 16 22 16 16 22 16 43 18 16 58 22 16 16 22 16 16 22 16 58 18 16 22 16 16 22 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 16 16 17 16 20 22 16 16 22 16 16 22 16 20 18 22 19 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,21.0
56,12 16 20 17 16 21 22 16 17 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 18 16 22 16 16 22 16 21 18 22 16 17 45 17 16 43 22 16 16 22 16 16 22 16 43 18 16 58 22 16 16 22 16 16 22 16 58 18 16 22 16 16 22 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 16 22 16 20 18 16 17 27 18 17 27 18 27 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,96.0
57,12 16 20 17 16 21 22 16 17 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 18 16 22 16 16 22 16 21 18 22 16 17 45 17 16 43 22 16 16 22 16 16 22 16 43 18 16 58 22 16 16 22 16 16 22 16 58 18 16 22 16 16 22 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 16 16 16 16 16 20 18 16 21 22 16 16 22 16 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11.0
58,12 16 20 17 16 21 22 16 17 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 18 16 22 16 16 22 16 21 18 22 16 17 45 17 16 43 22 16 16 22 16 16 22 16 43 18 16 58 22 16 16 22 16 16 22 16 58 18 16 22 16 16 22 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 20 16 16 16 16 21 22 16 16 22 16 16 22 16 21 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13.0
59,12 16 20 17 16 21 22 16 17 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 18 16 22 16 16 22 16 21 18 22 16 17 45 17 16 43 22 16 16 22 16 16 22 16 43 18 16 58 22 16 16 22 16 16 22 16 58 18 16 22 16 16 22 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 20 16 16 16 21 22 16 16 22 16 16 22 16 21 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,95.0
60,12 16 20 17 16 21 22 16 17 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 18 16 22 16 16 22 16 21 18 22 16 17 45 17 16 43 22 16 16 22 16 16 22 16 43 18 16 58 22 16 16 22 16 16 22 16 58 18 16 22 16 16 22 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 16 16 16 16 16 20 18 16 21 16 16 16 16 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.0
61,12 16 20 21 22 16 16 22 16 16 17 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 18 22 16 20 16 17 45 17 16 43 22 16 16 22 16 16 22 16 43 18 16 58 22 16 16 22 16 16 22 16 58 18 22 16 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 16 22 16 20 18 16 21 22 16 16 22 16 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,31.0
